,Nominative,accusative_nom,accusative_gen,genitive,partitive,inessive,elative,illative,adessive,ablative,allative,essive,translative,abessive
0,vuosi,vuosi,vuoden,vuoden,vuotta,vuodessa,vuodesta,vuoteen,vuodella,vuodelta,vuodelle,vuotena,vuodeksi,vuodetta
1,markka,markka,markan,markan,markkaa,markassa,markasta,markkaan,markalla,markalta,markalle,markkana,markaksi,markatta
2,maa,maa,maan,maan,maata,maassa,maasta,maahan,maalla,maalta,maalle,maana,maaksi,maatta
3,asia,asia,asian,asian,asiaa,asiassa,asiasta,asiaan,asialla,asialta,asialle,asiana,asiaksi,asiatta
4,prosentti,prosentti,prosentin,prosentin,prosenttia,prosentissa,prosentista,prosenttiin,prosentilla,prosentilta,prosentille,prosenttina,prosentiksi,prosentitta
5,ihminen,ihminen,ihmisen,ihmisen,ihmistä,ihmisessä,ihmisestä,ihmiseen,ihmisellä,ihmiseltä,ihmiselle,ihmisenä,ihmiseksi,ihmisettä
6,mies,mies,miehen,miehen,miestä,miehessä,miehestä,mieheen,miehellä,mieheltä,miehelle,miehenä,mieheksi,miehettä
7,aika,aika,ajan,ajan,aikaa,ajassa,ajasta,aikaan,ajalla,ajalta,ajalle,aikana,ajaksi,ajatta
8,työ,työ,työn,työn,työtä,työssä,työstä,työhön,työllä,työltä,työlle,työnä,työksi,työttä
9,mieli,mieli,mielen,mielen,mieltä,mielessä,mielestä,mieleen,mielellä,mieleltä,mielelle,mielenä,mieleksi,mielettä
10,kaupunki,kaupunki,kaupungin,kaupungin,kaupunkia,kaupungissa,kaupungista,kaupunkiin,kaupungilla,kaupungilta,kaupungille,kaupunkina,kaupungiksi,kaupungitta
11,osa,osa,osan,osan,osaa,osassa,osasta,osaan,osalla,osalta,osalle,osana,osaksi,osatta
12,alue,alue,alueen,alueen,aluetta,alueessa,alueesta,alueeseen,alueella,alueelta,alueelle,alueena,alueeksi,alueetta
13,lapsi,lapsi,lapsen,lapsen,lasta,lapsessa,lapsesta,lapseen,lapsella,lapselta,lapselle,lapsena,lapseksi,lapsetta
14,päivä,päivä,päivän,päivän,päivää,päivässä,päivästä,päivään,päivällä,päivältä,päivälle,päivänä,päiväksi,päivättä
15,hallitus,hallitus,hallituksen,hallituksen,hallitusta,hallituksessa,hallituksesta,hallitukseen,hallituksella,hallitukselta,hallitukselle,hallituksena,hallitukseksi,hallituksetta
16,kunta,kunta,kunnan,kunnan,kuntaa,kunnassa,kunnasta,kuntaan,kunnalla,kunnalta,kunnalle,kuntana,kunnaksi,kunnatta
17,nainen,nainen,naisen,naisen,naista,naisessa,naisesta,naiseen,naisella,naiselta,naiselle,naisena,naiseksi,naisetta
18,viikko,viikko,viikon,viikon,viikkoa,viikossa,viikosta,viikkoon,viikolla,viikolta,viikolle,viikkona,viikoksi,viikotta
19,luku,luku,luvun,luvun,lukua,luvussa,luvusta,lukuun,luvulla,luvulta,luvulle,lukuna,luvuksi,luvutta
20,kerta,kerta,kerran,kerran,kertaa,kerrassa,kerrasta,kertaan,kerralla,kerralta,kerralle,kertana,kerraksi,kerratta
21,yritys,yritys,yrityksen,yrityksen,yritystä,yrityksessä,yrityksestä,yritykseen,yrityksellä,yritykseltä,yritykselle,yrityksenä,yritykseksi,yrityksettä
22,alku,alku,alun,alun,alkua,alussa,alusta,alkuun,alulla,alulta,alulle,alkuna,aluksi,alutta
