,uncased
0,человек
1,год
2,время
3,рука
4,дело
5,раз
6,глаз
7,день
8,жизнь
9,голова
10,друг
11,дом
12,слово
13,место
14,лицо
15,октябрь
16,сторона
17,нога
18,работа
19,арбуз
20,дверь
21,конец
22,город
23,голос
24,час
25,земля
26,сила
27,вода
28,случай
29,стол
30,машина
31,мир
32,ночь
33,женщина
34,ребёнок
35,вид
36,отец
37,вопрос
38,ряд
39,страна
40,война
41,деньги
42,минута
43,товарищ
44,правда
45,часть
46,дорога
47,свет
48,жена
49,окно
50,Россия
51,мать
52,Москва
53,улица
54,комната
55,утро
56,вечер
57,душа
58,книга
59,плечо
60,пол
61,народ
62,взгляд
63,история
64,бог
65,палец
66,имя
67,мысль
68,разговор
69,право
70,лес
71,сын
72,путь
73,тысяча
74,пора
75,пора
76,стена
77,спина
78,месяц
79,тело
80,язык
81,мама
82,старик
83,смерть
84,власть
85,мальчик
86,образ
87,письмо
88,отношение
89,сердце
90,начальник
91,девушка
92,солдат
93,небо
94,система
95,воздух
96,ребята
97,брат
98,квартира
99,генерал
100,кровь
101,шаг
102,хозяин
103,внимание
104,школа
105,труд
106,капитан
107,парень
108,группа
109,солнце
110,любовь
111,ухо
112,неделя
113,ответ
114,берег
115,помощь
116,мужчина
117,момент
118,газета
119,чувство
120,порядок
121,семья
122,армия
123,возможность
124,движение
125,муж
126,нос
127,огонь
128,двор
129,угол
130,смысл
131,общество
132,грудь
133,дерево
134,немец
135,губа
136,снег
137,дядя
138,очередь
139,форма
140,закон
141,собака
142,состояние
143,сон
144,карман
145,девочка
146,камень
147,ветер
148,проблема
149,связь
150,гость
151,зуб
152,мера
153,век
154,номер
155,средство
156,действие
157,ход
158,государство
159,глава
160,партия
161,край
162,река
163,судьба
164,рота
165,речь
166,причина
167,гора
168,страх
169,море
170,зал
171,врач
172,командир
173,боль
174,господин
175,вещь
176,результат
177,число
178,цель
179,положение
180,писатель
181,бумага
182,план
183,черта
184,документ
185,волос
186,пара
187,след
188,решение
189,класс
190,условие
191,центр
192,встреча
193,директор
194,рубль
195,служба
196,процесс
197,президент
198,память
199,герой
200,дух
201,враг
202,счастье
203,удар
204,самолёт
205,деревня
206,картина
207,будущее
208,коридор
209,ум
210,кабинет
211,колено
212,бутылка
213,телефон
214,компания
215,доктор
216,автор
217,мужик
218,интерес
219,счёт
220,лейтенант
221,оружие
222,игра
223,бой
224,качество
225,член
226,хлеб
227,развитие
228,банк
229,совет
230,трубка
231,ладонь
232,институт
233,правительство
234,идея
235,точка
236,уровень
237,профессор
238,наука
239,событие
240,союз
241,король
242,половина
243,метр
244,вера
245,область
246,ситуация
247,кухня
248,надежда
249,род
250,офицер
251,течение
252,информация
253,помочь
254,граница
255,слеза
256,рассказ
257,трава
258,тридцать
259,борьба
260,шея
261,десяток
262,толпа
263,родитель
264,правило
265,правило
266,секунда
267,программа
268,фамилия
269,звук
270,роман
271,чай
272,роль
273,сознание
274,команда
275,магазин
276,ворот
277,полковник
278,природа
279,запах
280,поэт
281,район
282,лист
283,лист
284,стекло
285,количество
286,этаж
287,тип
288,свобода
289,сапог
290,суд
291,выход
292,дед
293,лоб
294,кресло
295,дочь
296,характер
297,опыт
298,площадь
299,управление
300,мнение
301,революция
302,улыбка
303,рост
304,лошадь
305,кожа
306,звезда
307,поезд
308,сестра
309,баба
310,цветок
311,дождь
312,желание
313,болезнь
314,сосед
315,пример
316,дама
317,орган
318,орган
319,поле
320,ящик
321,цена
322,ах
323,карта
324,слава
325,радость
326,тень
327,операция
328,музыка
329,завод
330,лето
331,станция
332,повод
333,воля
334,литература
335,дурак
336,приказ
337,гражданин
338,крыша
339,цвет
340,статья
341,круг
342,факт
343,бок
344,стул
345,лагерь
346,войско
347,удовольствие
348,вино
349,возраст
350,лестница
351,министр
352,фронт
353,Петербург
354,сад
355,задача
356,мол
357,темнота
358,название
359,большинство
360,организация
361,дым
362,километр
363,председатель
364,прочее
365,доллар
366,выражение
367,танк
368,зима
369,знак
370,мозг
371,учитель
372,майор
373,тишина
374,кровать
375,деятельность
376,США
377,рыба
378,щека
379,птица
380,папа
381,водка
382,здание
383,зеркало
384,искусство
385,начало
386,вагон
387,автомат
388,милиция
389,срок
390,одежда
391,корабль
392,кулак
393,художник
394,курс
395,куст
396,состав
397,чудо
398,кусок
399,фирма
400,пикник
401,миллион
402,пространство
403,тема
404,линия
405,мешок
406,бабушка
407,крик
408,рот
409,сутки
410,ключ
411,процент
412,ощущение
413,остров
414,конь
415,театр
416,живот
417,производство
418,штаб
419,детство
420,сотня
421,стакан
422,материал
423,ужас
424,значение
425,труба
426,стих
427,способ
428,обстоятельство
429,степень
430,Германия
431,СССР
432,волна
433,глубина
434,представитель
435,нож
436,рынок
437,шум
438,студент
439,впечатление
440,отдел
441,запад
442,очко
443,успех
444,инженер
445,население
446,пыль
447,знание
448,секретарь
449,ошибка
450,боец
451,масса
452,чёрт
453,царь
454,фигура
455,противник
456,даль
457,журнал
458,направление
459,замок
460,замок
461,победа
462,сотрудник
463,адрес
464,период
465,еврей
466,слух
467,клуб
468,хвост
469,предмет
470,лечение
471,зрение
472,беда
473,столица
474,обед
475,культура
476,высота
477,территория
478,костюм
479,попытка
480,дно
481,страница
482,еда
483,размер
484,предприятие
485,сцена
486,фотография
487,заболевание
488,принцип
489,миг
490,Европа
491,тётя
492,мастер
493,отряд
494,старуха
495,руководитель
496,житель
497,меч
498,господь
499,тюрьма
500,дворец
501,камера
502,существо
503,билет
504,фраза
505,Америка
506,весна
507,лодка
508,фильм
509,больница
510,смех
511,специалист
512,образование
513,мальчишка
514,продукт
515,пистолет
516,родина
517,личность
518,скорость
519,участок
520,текст
521,зверь
522,артист
523,автомобиль
524,участие
525,кот
526,мост
527,здоровье
528,костёр
529,человечество
530,пуля
531,сомнение
532,отсутствие
533,мясо
534,читатель
535,доска
536,убийство
537,мгновение
538,восток
539,настроение
540,пауза
541,приём
542,порог
543,фон
544,песок
545,долг
546,предложение
547,работник
548,сожаление
549,горло
550,ресторан
551,список
552,праздник
553,покой
554,шутка
555,автобус
556,рада
557,вариант
558,дыхание
559,организм
560,жертва
561,начальство
562,рукав
563,занятие
564,охрана
565,масло
566,кость
567,пиво
568,чиновник
569,эхо
570,потолок
571,лёгкое
572,руководство
573,защита
574,энергия
575,звонок
576,сигарета
577,кошка
578,зона
579,диван
580,предел
581,пятнадцать
582,постель
583,тайна
584,туман
585,книжка
586,воспоминание
587,Ленинград
588,существование
589,королева
590,вход
591,церковь
592,преступление
593,музей
594,планета
595,опасность
596,поиск
597,палатка
598,источник
599,основание
600,родственник
601,осень
602,представление
603,способность
604,понятие
605,тон
606,аппарат
607,водитель
608,крыло
609,изменение
610,беседа
611,пост
612,вывод
613,комиссия
614,множество
615,явление
616,красота
617,мороз
618,дача
619,пастух
620,дон
621,остальное
622,площадка
623,усилие
624,приятель
625,ручка
626,столик
627,журналист
628,выстрел
629,озеро
630,сумка
631,кино
632,должность
633,зло
634,позиция
635,удивление
636,следователь
637,ученик
638,основа
639,горе
640,рождение
641,песня
642,полок
643,старшина
644,колесо
645,шофёр
646,проект
647,совесть
648,суть
649,режим
650,стен
651,чемодан
652,платье
653,хозяйство
654,полиция
655,пункт
656,ствол
657,толк
658,вкус
659,добро
660,портрет
661,полк
662,кофе
663,отделение
664,подать
665,обстановка
666,пятно
667,бровь
668,телевизор
669,база
670,тревога
671,помещение
672,урок
673,поведение
674,создание
675,собрание
676,дедушка
677,безопасность
678,функция
679,нарушение
680,экран
681,шапка
682,полоса
683,хозяйка
684,штаны
685,грязь
686,заявление
687,труп
688,подарок
689,рубашка
690,август
691,объект
692,университет
693,охота
694,штука
695,муха
696,молоко
697,буква
698,вершина
699,поверхность
700,товар
701,лапа
702,гостиница
703,середина
704,бригада
705,признак
706,среда
707,политика
708,капля
709,вес
710,комитет
711,плащ
712,поток
713,холод
714,Париж
715,записка
716,появление
717,платок
718,корпус
719,сведение
720,сведение
721,забор
722,строй
723,морда
724,краска
725,кружок
726,могила
727,облако
728,шкаф
729,милиционер
730,сумма
731,сеть
732,грех
733,ожидание
734,необходимость
735,инспектор
