,uncased,nominative,genitive,dative,accusative,instrumental,locative,vocative
0,mama,mama,mamy,mamie,mamę,mamą,mamie,mamo
1,pan,pan,pana,panu,pana,panem,panie,panie
2,więc,wiec,wiecu,wiecowi,wiec,wiecem,wiecu,wiecu
3,pani,pani,pani,pani,panią,panią,pani,pani!
4,żeby,ząb,zęba,zębowi,ząb,zębem,zębie,zębie
6,porządek,porządek,porządku,porządkowi,porządek,porządkiem,porządku,porządku
7,mucha,mucha,muchy,musze,muchę,muchą,musze,mucho!
9,dom,dom,domu,domowi,dom,domem,domu,domu
10,prawda,prawda,prawdy,prawdzie,prawdę,prawdą,prawdzie,prawdo!
11,cześć,część ,części,części,część,częścią,części,część
12,lato,lato,lata,latu,lato,latem,lecie,lato
14,czas,czas,czasu,czasowi,czas,czasem,czasie,czas
15,człowiek,człowiek,człowieka,człowiekowi,człowieka,człowiekiem,człowieku,człowieku!
17,dzień,dzień,dnia,dniu,dzień,dniem,dniu,dzień
18,życie,życie,życia,życiu,życie,życiem,życiu,życie!
20,rzecz,rzecz,rzeczy,rzeczy,rzecz,rzeczą,rzeczy,rzeczy!
21,stąd,stado,stada,stadu,stado,stadem,stadzie,stado
22,kurwa,kurwa,kurwy,kurwie,kurwę,kurwą,kurwie,kurwo
24,miejsce,miejsce,miejsca,miejscu,miejsce,miejscem,miejscu,miejsce!
25,pomóc,pomoc,pomocy,pomocy,pomoc,pomocą,pomocy,pomocy!
26,myśl,myśl,myśli,myśli,myśl,myślą,myśli,myśl!
28,mowa,mowa,mowy,mowie,mowę,mową,mowie,mowo
29,tył,tył,tyłu,tyłowi,tył,tyłem,tyle,tyle!
30,ani,Ania,Ani,Ani,Anię,Anią,Ani,Aniu
31,ojciec,ojciec,ojca,ojcu,ojca,ojcem,ojcu,ojcze!
32,zbyt,zbyt,zbytu,zbytowi,zbyt,zbytem,zbycie,zbycie
33,sposób,sposób,sposobu,sposobowi,sposób,sposobem,sposobie,sposobie
34,praca,praca,pracy,pracy,pracę,pracą,pracy,praco
36,jutro,jutro,jutra,jutru,jutro,jutrem,jutrze,jutro
37,racja,racja,racji,racji,rację,racją,racji,racjo
38,tata,tata,taty,tacie,tatę,tatą,tacie,tato
40,nadzieja,nadzieja,nadziei,nadziei,nadzieję,nadzieją,nadziei,nadziejo!
41,stan,stan,stanu,stanowi,stan,stanem,stanie,stanie
42,koniec,koniec,końca,końcowi,koniec,końcem,końcu,końcu
44,problem,problem,problemu,problemowi,problem,problemem,problemie,problemie
45,spokój,spokój,spokoju,spokojowi,spokój,spokojem,spokoju,spokoju!
46,minuta,minuta,minuty,minucie,minutę,minutą,minucie,minuto
48,noc,noc,nocy,nocy,noc,nocą,nocy,nocy
49,pieniądz,pieniądz,pieniądza,pieniądzowi,pieniądza,pieniądzem,pieniądzu,pieniądzu
50,imię,imię,imienia,imieniu,imię,imieniem,imieniu,imię
54,chwila,chwila,chwili,chwili,chwilę,chwilą,chwili,chwilo
55,rok,rok,roku,rokowi,rok,rokiem,roku,roku
56,facet,facet,faceta,facetowi,faceta,facetem,facecie,facecie
58,dziecko,dziecko,dziecka,dziecku,dziecko,dzieckiem,dziecku,dziecko!
59,napis,napis,napisu,napisowi,napis,napisem,napisie,napisie!
61,poza,poza,pozy,pozie,pozę,pozą,pozie,pozo
62,pomoc,pomoc,pomocy,pomocy,pomoc,pomocą,pomocy,pomocy!
63,prawie,prawo,prawa,prawu,prawo,prawem,prawie,prawo
65,sprawa,sprawa,sprawy,sprawie,sprawę,sprawą,sprawie,sprawo!
67,powód,powód,powodu,powodowi,powód,powodem,powodzie,powodzie!
68,pomysł,pomysł,pomysłu,pomysłowi,pomysł,pomysłem,pomyśle,pomyśle!
70,numer,numer,numeru,numerowi,numer,numerem,numerze,numerze
72,latać,lato,lata,latu,lato,latem,lecie,lato
74,pokój,pokój,pokoju,pokojowi,pokój,pokojem,pokoju,pokój
76,samochód,samochód,samochodu,samochodowi,samochód,samochodem,samochodzie,samochodzie
77,świat,świat,świata,światu,świat,światem,świecie,świat
79,rano,rano,rana,ranu,rano,ranem,ranie,rano
80,halo,hala,hali,hali,halę,halą,hali,halo
82,śmierć,śmierć,śmierci,śmierci,śmierć,śmiercią,śmierci,śmierci!
83,ręka,ręka,ręki,ręce,rękę,ręką,ręce,ręko!
86,pytanie,pytanie,pytania,pytaniu,pytanie,pytaniem,pytaniu,pytanie
87,jeż,jeż,jeża,jeżowi,jeża,jeżem,jeżu,jeżu
89,saga,saga,sagi,sadze,sagę,sagą,sadze,sago
90,matka,matka,matki,matce,matkę,matką,matce,matko
91,Jan,Jan,Jana,Janowi,Jana,Janem,Janie,Janie
92,telefon,telefon,telefonu,telefonowi,telefon,telefonem,telefonie,telefonie
95,para,para,pary,parze,parę,parą,parze,paro
96,diabeł,diabeł,diabła,diabłu,diabła,diabłem,diable,diable!
97,kobieta,kobieta,kobiety,kobiecie,kobietę,kobietą,kobiecie,kobieto
100,dziewczyna,dziewczyna,dziewczyny,dziewczynie,dziewczynę,dziewczyną,dziewczynie,dziewczyno
101,pięć,piec,pieca,piecowi,piec,piecem,piecu,piecu
102,żona,żona,żony,żonie,żonę,żoną,żonie,żono
104,bóg,bóg,boga,bogowi,boga,bogiem,bogu,boże
105,wiara,wiara,wiary,wierze,wiarę,wiarą,wierze,wiaro
106,gra,gra,gry,grze,grę,grą,grze,gro
108,godzina,godzina,godziny,godzinie,godzinę,godziną,godzinie,godzino
110,wina,wina,winy,winie,winę,winą,winie,wino!
113,miłość,miłość,miłości,miłości,miłość,miłością,miłości,miłości
114,ziemia,ziemia,ziemi,ziemi,ziemię,ziemią,ziemi,ziemio
116,słowo,słowo,słowa,słowu,słowo,słowem,słowie,słowo!
117,czasem,czas,czasu,czasowi,czas,czasem,czasie,czas
118,gówno,gówno,gówna,gównu,gówno,gównem,gównie,gówno
120,chłopak,chłopak,chłopaka,chłopakowi,chłopaka,chłopakiem,chłopaku,chłopaku
121,doktor,doktor,doktora,doktorowi,doktora,doktorem,doktorze,doktor
123,wieczór,wieczór,wieczoru,wieczorowi,wieczór,wieczorem,wieczorze,wieczorze
125,serce,serce,serca,sercu,serce,sercem,sercu,serce!
126,powrót,powrót,powrotu,powrotowi,powrót,powrotem,powrocie,powrocie
128,plan,plan,planu,planowi,plan,planem,planie,planie
129,kapitan,kapitan,kapitana,kapitanowi,kapitana,kapitanem,kapitanie,kapitanie
130,ogolić,ogół,ogółu,ogółowi,ogół,ogółem,ogóle,ogóle
131,pół,pole,pola,polu,pole,polem,polu,pole
132,pojęcie,pojęcie,pojęcia,pojęciu,pojęcie,pojęciem,pojęciu,pojęcie
133,skarb,skarb,skarbu,skarbowi,skarb,skarbem,skarbie,skarbie
137,udać,udo,uda,udu,udo,udem,udzie,udo!
138,głowa,głowa,głowy,głowie,głowę,głową,głowie,głowo
139,szczęście,szczęście,szczęścia,szczęściu,szczęście,szczęściem,szczęściu,szczęście!
140,wyjście,wyjście,wyjścia,wyjściu,wyjście,wyjściem,wyjściu,wyjście
141,robota,robota,roboty,robocie,robotę,robotą,robocie,roboto!
142,syn,syn,syna,synowi,syna,synem,synu,synu
144,krew,krew,krwi,krwi,krew,krwią,krwi,krwi
146,ciało,ciało,ciała,ciału,ciało,ciałem,ciele,ciało
147,strona,strona,strony,stronie,stronę,stroną,stronie,strono!
149,miasto,miasto,miasta,miastu,miasto,miastem,mieście,miasto
150,tłumaczenie,tłumaczenie,tłumaczenia,tłumaczeniu,tłumaczenie,tłumaczeniem,tłumaczeniu,tłumaczenie
152,policja,policja,policji,policji,policję,policją,policji,policjo!
155,twarz,twarz,twarzy,twarzy,twarz,twarzą,twarzy,twarzy!
157,rodzina,rodzina,rodziny,rodzinie,rodzinę,rodziną,rodzinie,rodzino
158,środek ,środek,środka,środkowi,środek,środkiem,środku,środku!
160,droga,droga,drogi,drodze,drogę,drogą,drodze,drogo
161,szkoła,szkoła,szkoły,szkole,szkołę,szkołą,szkole,szkoło
163,rada,rada,rady,radzie,radę,radą,radzie,rado!
165,brat,brat,brata,bratu,brata,bratem,bracie,bracie
167,mąż,mąż,męża,mężowi,męża,mężem,mężu,mężu
168,część,część ,części,części,część,częścią,części,część
169,wieczorem,wieczór,wieczoru,wieczorowi,wieczór,wieczorem,wieczorze,wieczorze
170,woda,woda,wody,wodzie,wodę,wodą,wodzie,wodo
172,tydzień,tydzień,tygodnia,tygodniowi,tydzień,tygodniem,tygodniu,tygodniu!
173,wypadek,wypadek,wypadku,wypadkowi,wypadek,wypadkiem,wypadku,wypadku!
177,góra,góra,góry,górze,górę,górą,górze,góro
178,pokaz,pokaz,pokazu,pokazowi,pokaz,pokazem,pokazie,pokazie
180,robot,robot,robota,robotowi,robota,robotem,robocie,robocie
181,temat,temat,tematu,tematowi,temat,tematem,temacie,temacie
